OBJECTID,Shape_Area,Parking_m2,ParkingInZ,xcoord,ycoord
1,1996372.864,31,62,635183.1685,5795384.929
2,3478498.708,34,120,633365.288,5795061.539
3,2538867.763,36,92,634849.9591,5796252.394
4,2856936.629,6,18,635908.1379,5797032.83
5,2379707.147,47,111,632348.376,5796914.365
6,1648950.423,1,2,637162.9308,5797645.323
7,2103658.797,22,47,634987.3685,5798033.156
8,2917593.383,29,84,633241.0347,5797847.357
9,1992538.404,16,32,634549.0368,5798919.112
10,1728155.798,22,38,628680.3334,5799415.943
11,1528941.475,46,71,627762.2104,5799442.2
12,3309242.269,27,90,626166.742,5799446.31
13,3084867.467,39,121,630323.5064,5799714.532
14,193342.7182,0,0,636408.1033,5801104.587
15,1579215.547,46,72,629650.2681,5800592.364
16,1160265.65,41,48,629022.7009,5801031.018
17,1340606.292,21,28,626599.7495,5800805.637
18,6349840.513,28,180,623771.0261,5800432.836
19,832102.4117,61,51,625742.85,5801050.741
20,1752287.192,58,101,627769.0045,5801135.77
21,2736631.76,34,92,631548.606,5801218.693
22,980299.3445,40,39,626627.1356,5801846.308
23,600913.8816,50,30,629270.6925,5801981.768
24,431983.525,60,26,629740.8004,5802086.038
25,2875489.936,41,119,632740.2827,5801932.744
26,629363.6923,52,33,628732.2348,5802020.539
27,1776418.832,46,82,621072.4564,5801601.415
28,1365002,64,88,627852.0292,5802319.031
29,955255.1711,40,38,630302.681,5802315.542
30,2190832.22,59,130,621849.2039,5802059.511
31,1562569.552,25,39,625191.327,5801803.97
32,1127687.061,37,42,625901.8775,5802462.751
33,1885818.359,37,69,624187.7184,5802487.264
34,956186.9327,51,49,627210.3371,5802880.352
35,547156.4798,35,19,630900.5886,5802623.629
36,6787917.272,16,111,636930.3513,5802271.831
37,604827.9296,81,49,631368.6677,5802923.645
38,1886096.487,56,106,623021.4807,5802387.48
39,476487.5356,80,38,631816.9623,5803122.205
40,1292460.388,63,82,628900.3717,5803095.677
41,1014313.61,31,31,626171.0063,5803495.974
42,708906.4505,59,42,627188.2519,5803492.955
43,793156.7183,59,47,628099.6145,5803939.994
44,2162618.312,56,122,630601.7504,5803672.087
45,2525335.708,6,16,635185.1054,5803512.237
46,981426.9267,47,46,626235.7015,5804169.017
47,1031213.128,39,40,629766.7533,5804121.919
48,2819920.806,27,75,623994.1328,5803941.366
49,2994472.808,35,106,631868.4596,5804436.464
50,1206367.279,41,50,629085.7095,5804395.251
51,8807003.594,27,238,621259.4119,5803970.096
52,3999630.875,35,138,633394.0605,5803623.798
53,1286228.898,23,29,624293.5009,5805023.293
54,1103018.289,30,33,625230.8529,5804183.322
55,1259422.473,50,63,626113.2799,5804943.54
56,775224.596,93,72,628228.7161,5804793.149
57,922573.2193,44,41,627196.2056,5805059.483
58,627244.706,54,34,627559.4625,5804646.111
59,1484968.843,47,70,630660.6234,5805389.465
60,2596093.495,17,45,633085.3734,5805582.87
61,12330981.03,2,23,637074.0163,5804848.52
62,3423778.718,23,78,624132.9883,5806004.069
63,1620814.904,48,77,629602.6064,5806069.626
64,988706.4919,25,25,631471.6907,5805846.739
65,2446067.181,42,103,626348.0372,5806141.267
66,4254853.3,14,61,621542.0328,5806131.29
67,1481338.712,47,70,629971.9159,5806890.289
68,1579742.798,46,72,632941.8659,5806702.621
69,2425745.381,32,78,631570.8579,5807201.208
70,241964.4332,8,2,629418.7072,5808076.827
71,5334848.755,25,135,627623.2436,5806772.518
72,2516176.507,41,102,624502.1273,5807478.642
73,2106485.427,17,36,630400.7145,5808132.723
74,3555004.761,17,62,625426.7601,5808422.433
75,3879470.593,55,213,628293.7467,5808206.216
76,3049472.072,22,66,623251.9104,5807952.146
77,2615073.384,36,93,628869.735,5809272.137
78,5931195.318,26,152,621607.4256,5808701.541
79,13889814.37,12,164,636779.9891,5807967.842
80,10513349.51,2,25,619401.0624,5808027.995
81,10104436.07,16,166,633804.8916,5808464.326
82,1336830.543,0,0,626960.5418,5809854.478